X	Y
1	6
12	5
12	18
15	13
8	7
22	1
20	1
15	9
23	23
19	14
13	9
3	22
19	10
6	14
16	15
7	13
23	13
4	19
9	8
13	15
19	5
15	20
17	17
20	7
9	14
15	15
13	11
7	9
12	6
1	16
7	13
7	11
12	13
22	4
11	0
21	15
7	4
3	11
19	21
0	9
15	6
7	12
11	5
11	2
8	1
19	21
21	11
18	19
7	21
18	7
22	12
3	20
17	5
6	3
15	1
6	13
20	10
6	4
15	3
2	1
14	21
9	14
7	5
4	23
5	4
10	18
11	16
12	21
2	8
20	17
0	0
0	2
9	15
2	3
12	3
17	8
13	6
12	20
11	21
9	11
19	2
12	13
3	1
11	9
2	8
6	4
13	20
20	4
3	14
11	13
19	11
18	7
15	20
14	21
7	19
17	22
18	10
17	16
15	3
1	4
7	3
6	15
10	0
17	10
4	0
15	2
21	2
16	8
9	7
17	17
13	21
6	6
15	11
6	1
1	20
18	12
11	1
0	17
15	19
4	17
18	12
2	13
15	0
6	13
3	9
18	4
5	8
4	4
18	12
17	8
8	3
15	13
0	13
10	8
4	5
21	6
6	1
7	6
1	6
15	10
8	22
22	1
18	6
12	21
16	17
4	5
14	17
13	4
20	4
20	22
16	13
20	1
15	2
0	4
13	15
18	11
0	23
7	10
1	20
8	1
13	7
2	20
7	10
17	21
15	13
18	6
9	1
5	2
4	16
14	15
11	5
2	14
9	17
0	14
1	19
16	22
19	21
8	18
15	10
12	10
19	2
21	22
1	20
13	21
2	3
16	6
11	17
10	13
18	11
6	16
11	15
7	1
9	0
14	17
16	21
12	19
7	8
13	19
11	4
21	18
22	9
0	0
19	8
5	7
22	4
21	1
19	20
6	13
17	22
10	21
0	23
19	13
9	2
8	21
21	20
4	21
19	11
15	12
3	15
18	4
8	10
1	17
8	14
21	14
11	2
18	15
4	19
12	8
13	11
15	5
1	21
11	7
0	8
8	19
1	23
6	0
1	1
2	21
22	7
5	5
2	23
1	19
8	1
15	13
2	10
2	12
1	14
10	5
22	13
3	3
20	19
7	6
8	7
20	1
8	5
5	0
22	0
9	5
21	6
2	16
12	9
15	7
22	11
22	16
5	20
7	22
7	16
8	3
8	19
4	1
18	2
15	15
13	8
7	12
11	2
21	3
6	0
7	2
2	1
16	9
2	7
11	13
20	2
0	0
22	17
9	13
7	8
2	1
23	23
3	22
10	5
22	4
22	12
19	3
5	4
13	16
0	10
1	12
1	18
18	21
1	19
10	17
5	8
2	9
17	2
11	18
4	18
13	9
14	4
20	1
9	11
0	1
11	18
17	10
2	3
20	16
22	0
1	6
22	0
17	19
15	16
22	16
1	1
16	22
6	16
8	0
8	20
9	13
5	9
16	10
22	4
13	22
1	9
4	8
16	15
7	19
6	7
7	15
7	4
5	14
17	10
0	21
4	17
2	18
15	4
6	4
7	10
10	13
19	2
18	5
3	23
7	13
3	7
14	17
10	14
8	14
14	7
2	1
0	1
13	20
8	18
19	15
2	4
3	5
21	12
13	22
7	11
15	18
20	4
19	12
17	2
16	0
16	10
16	21
9	15
14	19
22	8
2	21
2	22
7	11
17	1
10	5
21	22
4	9
17	22
9	10
0	14
0	5
15	14
21	4
8	4
2	5
8	22
3	9
22	9
16	16
21	17
19	11
16	7
12	7
8	9
13	16
14	4
14	15
12	9
8	0
1	23
18	21
2	20
13	2
1	2
16	17
12	8
9	11
7	18
20	3
19	19
9	0
17	22
1	22
0	3
6	16
19	3
7	4
22	14
19	8
7	1
21	5
2	15
1	1
3	0
5	14
15	12
8	5
2	13
17	1
17	9
6	9
22	3
20	2
16	10
21	12
12	1
1	21
22	0
1	17
15	21
2	23
19	12
4	8
8	20
1	21
21	18
20	4
8	7
9	21
9	5
4	7
10	11
6	7
4	3
12	4
16	3
1	16
20	3
18	17
13	18
16	1
20	13
0	10
19	2
17	7
17	5
15	21
20	6
8	13
9	2
6	13
8	11
18	10
11	8
10	17
4	8
2	21
10	4
23	7
6	21
18	0
15	9
3	20
2	5
16	17
20	14
11	5
0	1
6	4
6	2
13	5
16	5
9	15
3	9
7	11
11	20
12	10
3	22
4	18
11	11
21	0
2	16
2	14
5	18
7	22
15	17
5	18
9	6
8	5
13	1
4	10
12	6
22	5
10	22
18	9
10	8
3	13
12	8
7	9
13	9
6	3
7	0
8	18
9	9
16	15
14	1
4	13
13	17
19	22
9	7
10	4
15	4
14	5
6	13
4	2
3	9
1	20
10	3
17	23
20	18
14	10
1	9
19	16
10	4
17	9
2	5
20	15
6	18
1	18
12	17
11	10
13	7
8	18
17	5
22	6
17	5
15	13
6	16
18	3
21	12
13	16
18	6
5	11
18	18
18	10
19	2
5	15
8	10
1	23
5	18
16	15
6	15
17	3
12	18
8	11
22	3
0	2
21	12
8	13
18	12
20	4
0	13
17	8
3	14
2	7
13	11
4	10
4	6
10	6
0	15
18	1
8	22
9	15
11	6
17	6
7	22
11	2
18	17
15	3
12	3
9	13
14	13
0	17
1	10
10	19
14	14
6	8
14	13
0	9
18	7
0	4
22	0
14	1
3	6
18	6
2	6
0	14
2	19
2	6
14	2
12	22
14	17
21	1
20	18
4	17
7	12
9	21
19	21
1	11
21	7
4	11
12	16
19	22
15	13
4	9
16	15
10	12
20	12
4	20
11	4
3	19
14	10
19	5
6	5
9	21
1	8
19	7
4	11
1	5
0	3
19	4
4	11
9	19
20	15
10	21
10	3
15	14
1	8
22	12
0	14
16	16
2	5
3	8
17	22
7	10
15	6
20	1
8	8
9	16
18	10
16	6
8	3
7	20
1	10
14	3
18	5
22	10
19	11
1	2
2	3
23	22
8	6
18	10
10	16
3	17
14	0
20	19
8	22
18	11
7	8
9	15
16	4
2	5
4	18
3	20
19	8
11	0
8	17
11	21
7	4
1	21
21	2
20	6
15	13
11	2
16	21
13	13
9	6
4	5
13	19
4	20
9	22
4	13
12	10
10	5
11	19
17	6
14	21
8	11
0	0
9	19
16	21
5	2
22	1
18	18
2	9
16	16
1	10
5	3
21	4
17	22
13	18
3	19
21	5
12	23
14	14
6	12
1	15
16	9
13	1
15	10
11	10
1	22
15	19
22	21
11	9
18	5
17	0
19	4
18	0
4	18
2	9
19	2
14	3
3	16
1	8
17	6
18	22
13	9
0	2
4	12
22	18
22	15
8	20
14	17
9	18
2	11
0	18
12	20
13	1
11	8
15	4
5	16
19	11
0	18
8	3
3	9
10	20
18	13
5	20
3	13
1	20
11	11
10	15
5	17
14	12
11	2
11	2
0	6
7	4
8	14
22	18
7	22
13	10
22	14
17	19
7	11
4	6
21	16
14	7
14	22
17	9
6	20
15	4
9	19
22	8
14	13
4	0
16	18
8	15
0	9
11	11
1	6
14	7
11	4
5	4
4	17
2	19
18	12
2	13
0	0
20	15
2	14
14	17
9	1
7	19
4	13
22	17
10	4
5	1
21	6
18	7
5	15
0	22
21	21
10	2
0	16
9	4
23	1
15	11
4	5
12	0
4	22
13	23
0	19
15	12
8	20
0	10
7	12
13	18
8	12
1	11
9	3
21	8
18	2
5	11
13	0
8	12
15	1
4	18
5	2
13	14
1	3
20	2
18	14
23	12
5	16
15	10
17	21
22	3
12	9
13	0
4	17
21	21
13	22
4	15
8	8
15	13
12	0
13	5
18	17
15	0
16	20
18	8
5	10
20	17
18	1
16	21
22	11
9	17
3	4
18	11
8	5
13	17
20	12
0	15
0	2
5	11
15	9
20	19
13	15
10	9
7	19
17	12
1	3
0	8
15	20
15	8
9	3
7	10
6	0
4	2
15	21
22	12
4	4
5	18
17	16
15	6
13	11
14	15
21	4
18	2
20	9
8	21
8	9
17	1
23	14
5	12
8	17
10	5
14	2
13	20
8	8
2	18
16	13
3	21
7	20
23	13
13	4
21	13
10	12
12	12
6	4
10	9
16	11
8	20
10	21
14	17
19	7
6	8
22	4
3	7
21	20
10	6
2	10
11	3
10	16
21	0
18	6
12	12
17	7
13	9
1	10
1	20
9	17
8	20
19	11
0	2
3	16
14	9
16	14
13	21
21	14
11	18
2	12
9	18
19	7
17	13
0	21
16	15
14	7
1	0
22	14
5	18
21	22
1	0
11	19
2	10
18	11
4	8
16	0
19	15
18	13
15	2
5	11
17	15
21	7
22	6
1	21
15	12
1	10
8	11
4	14
1	7
4	5
16	23
19	9
15	8
9	13
7	5
19	7
16	1
17	22
17	18
2	12
11	13
18	11
22	18
17	20
7	12
6	3
0	6
0	13
1	15
16	19
22	8
21	9
22	7
12	5
0	21
18	13
18	5
8	20
11	14
11	5
11	8
19	11
2	3
11	9
5	22
3	14
10	23
16	7
6	11
6	14
5	7
2	18
7	21
2	15
4	12
4	9
10	18
16	17
4	21
3	20
3	4
11	1
22	3
1	9
0	3
0	6
22	8
13	1
7	8
14	11
20	1
19	0
16	11
12	15
21	17
12	3
16	12
8	14
17	14
22	22
18	1
22	10
1	11
4	8
20	6
8	21
13	10
3	12
5	17
17	22
21	7
7	13
1	22
16	10
10	20
9	6
8	0
12	5
15	3
0	21
9	4
5	4
5	14
18	13
10	5
2	22
17	20
13	22
4	7
15	9
4	21
18	21
21	14
19	7
21	16
20	17
5	11
17	8
18	23
13	8
14	4
1	18
18	1
1	4
20	8
18	3
11	14
22	11
10	18
8	3
9	20
4	5
15	15
2	4
3	3
20	11
6	17
13	9
16	16
18	19
11	6
8	8
22	0
0	6
5	0
18	10
4	4
7	1
5	0
15	20
4	5
14	21
0	13
4	7
21	5
18	11
17	8
20	7
12	7
8	15
21	8
8	18
21	16
0	11
0	10
19	15
22	19
23	3
13	18
6	8
9	16
8	21
22	2
2	21
16	14
11	5
15	8
2	8
12	6
23	15
13	9
0	18
4	2
0	19
3	3
17	13
19	21
4	13
1	2
0	13
7	5
16	12
11	5
13	9
12	12
23	8
18	9
16	15
22	5
21	9
17	5
14	14
19	20
4	13
15	18
7	15
7	5
14	22
0	10
19	9
6	16
0	22
0	8
2	10
21	18
20	2
4	7
5	5
13	9
23	13
6	21
21	0
0	0
21	18
4	12
14	18
21	5
14	11
17	15
19	17
6	18
0	8
0	3
11	23
13	1
8	3
5	16
19	20
6	11
19	11
15	20
15	19
3	20
20	4
3	2
19	9
11	18
20	0
18	0
10	9
19	9
5	7
3	20
8	21
6	3
5	13
1	8
8	18
10	23
1	4
3	4
18	22
22	2
14	7
14	5
22	2
20	6
13	11
4	1
8	12
7	12
8	5
17	9
22	8
13	2
21	6
13	18
10	20
23	11
1	17
0	18
23	10
17	12
22	6
12	18
20	11
2	2
19	13
13	4
8	5
1	14
8	7
16	18
8	9
2	1
12	7
18	1
14	6
10	21
19	0
17	0
0	17
18	2
12	22
4	5
19	1
10	23
19	11
20	11
22	13
10	5
4	3
11	5
19	18
3	6
16	4
16	16
1	15
1	18
6	14
8	0
10	13
6	19
10	0
14	12
17	4
16	5
15	3
19	8
4	2
14	0
20	7
19	0
19	0
12	21
7	13
15	6
5	0
10	14
4	5
17	17
17	13
22	13
12	19
10	6
20	13
12	14
0	0
4	3
7	21
4	14
4	13
8	18
4	19
5	9
5	13
18	22
6	2
21	2
13	20
0	6
1	13
11	16
15	2
6	3
9	12
18	1
0	17
15	10
17	9
19	20
21	0
20	19
23	3
14	19
0	11
13	7
10	14
0	1
1	12
18	6
5	2
4	22
15	23
22	10
11	7
19	14
9	23
13	10
22	9
20	10
22	22
19	13
20	11
18	5
3	19
16	7
6	8
12	23
14	21
13	20
23	19
12	16
1	0
3	18
8	7
13	22
2	0
5	16
17	22
8	0
0	7
16	8
5	0
4	9
17	23
16	9
2	9
15	9
18	0
0	11
22	17
17	11
1	16
18	2
22	10
21	11
10	10
16	15
13	20
6	3
10	20
14	8
5	12
6	9
22	20
11	23
7	21
3	6
3	4
10	18
14	23
5	3
16	7
14	20
22	10
1	21
2	0
18	19
4	4
23	18
1	19
17	19
0	16
21	4
9	6
13	22
20	14
3	4
16	10
14	13
9	18
2	21
15	14
21	10
20	20
11	21
3	15
1	6
22	1
17	7
22	10
19	11
19	19
21	9
3	19
11	20
0	17
5	7
12	14
14	18
17	12
22	22
3	17
4	22
6	17
21	16
5	5
3	18
22	9
8	23
9	7
21	8
15	21
20	6
17	4
15	18
22	6
9	3
14	11
4	5
5	6
22	11
6	13
19	4
16	9
13	15
23	2
18	7
6	17
19	6
9	5
5	15
6	14
11	18
16	1
8	5
11	1
8	8
2	15
12	1
0	9
9	2
22	12
21	3
3	19
1	14
2	8
19	13
17	20
3	2
9	7
10	13
14	22
14	1
11	17
12	12
16	1
2	16
2	5
12	4
13	11
18	22
4	22
23	8
4	19
6	20
20	21
2	4
17	1
6	6
4	14
2	8
11	23
22	7
9	7
22	11
12	14
20	10
13	11
12	11
6	12
14	9
6	18
15	7
16	9
16	15
22	22
17	2
19	12
10	15
1	22
5	0
3	21
14	22
4	7
21	12
10	12
21	22
13	20
0	21
0	11
17	7
4	2
13	13
9	7
11	9
13	6
9	7
14	21
7	11
19	6
21	8
18	6
13	6
0	22
21	2
14	10
13	8
14	1
5	7
7	11
4	4
20	7
20	22
4	20
16	20
19	1
12	1
1	18
23	6
4	21
10	4
11	0
4	16
10	18
19	11
12	20
10	6
0	8
18	13
20	9
2	20
4	11
4	1
7	10
18	2
3	3
16	11
15	6
17	4
13	12
8	3
1	11
1	20
3	13
2	2
11	16
5	7
5	0
22	3
11	6
20	14
0	3
17	20
8	1
8	0
21	18
4	13
3	9
3	10
6	14
13	3
2	17
20	14
21	19
13	4
6	4
20	13
10	13
19	4
15	5
3	4
11	3
14	19
2	16
14	10
21	21
3	19
16	0
3	10
21	17
21	16
9	20
22	18
19	10
21	3
2	12
9	13
5	11
6	17
14	15
0	4
11	18
11	11
21	7
22	18
18	16
12	0
22	9
13	22
7	8
9	9
17	11
2	18
7	16
4	22
7	14
11	0
4	5
21	2
4	16
9	2
4	8
18	10
2	13
16	21
9	10
1	19
7	16
16	18
15	5
5	7
15	5
6	18
0	9
8	14
4	0
17	18
15	22
15	21
22	8
9	9
11	2
3	2
16	2
4	4
15	2
4	15
18	23
5	9
4	22
21	15
6	9
15	0
13	8
14	13
22	8
10	13
0	6
1	12
19	21
4	8
7	4
12	11
2	3
9	21
17	4
5	12
15	1
10	14
2	14
16	17
21	18
4	6
11	18
23	5
12	11
13	9
8	18
19	4
10	11
11	11
4	17
10	7
1	10
15	8
15	9
3	12
1	16
17	3
2	3
20	4
17	10
2	13
21	3
4	10
7	20
17	20
19	6
8	11
11	15
4	6
15	20
17	20
17	6
14	7
4	10
12	2
1	6
15	18
1	16
3	20
12	13
22	6
21	10
12	8
14	17
1	16
7	22
22	16
17	13
2	1
13	10
8	1
11	2
5	14
2	3
14	18
19	1
21	21
5	12
4	5
17	20
2	21
16	13
22	15
12	7
13	1
6	2
19	14
7	7
13	4
15	1
6	13
3	2
13	11
1	14
20	13
19	6
10	13
7	7
5	12
1	3
6	6
12	4
12	4
14	4
20	17
4	11
21	18
16	2
11	9
2	16
13	8
22	12
8	2
15	7
23	15
17	23
1	0
21	9
9	11
7	2
18	4
20	3
9	0
19	9
5	13
20	12
2	20
18	5
12	12
1	5
3	18
9	15
0	6
18	4
7	13
8	7
17	19
13	8
13	13
7	4
7	5
7	0
14	12
13	17
3	6
19	20
15	22
23	18
6	0
1	11
11	15
7	20
8	13
21	22
16	20
23	15
3	2
13	18
13	5
5	9
22	14
18	13
14	21
22	0
8	10
5	8
18	14
22	22
6	6
4	14
19	12
13	0
9	23
3	0
17	17
15	19
16	20
16	6
4	9
9	8
12	11
6	18
18	10
11	4
22	7
18	4
14	5
13	4
14	2
2	7
13	7
7	8
13	10
7	10
8	4
4	18
12	12
12	21
4	4
9	10
7	13
7	14
9	11
16	11
21	8
17	6
18	16
5	2
8	13
12	12
4	19
6	5
10	14
0	14
17	21
10	18
19	5
21	19
13	19
10	16
5	5
10	20
6	8
21	20
5	15
13	14
3	3
11	17
0	14
15	23
20	2
19	14
12	11
16	0
18	2
16	11
10	8
14	7
0	22
21	15
13	17
22	6
16	12
10	18
21	19
6	7
8	3
17	7
19	20
16	1
5	5
1	12
21	2
5	2
16	20
6	0
1	4
1	14
11	19
14	22
13	15
6	8
9	5
3	17
1	7
12	11
3	0
19	18
14	12
4	5
2	7
11	2
0	15
10	15
4	7
23	19
1	20
2	14
11	10
12	7
13	3
1	1
11	6
20	2
18	13
6	0
23	12
12	15
5	9
7	3
1	22
9	5
5	16
9	5
10	22
9	3
19	7
13	12
6	5
3	16
13	8
6	14
4	3
6	8
12	15
21	3
14	22
17	10
6	8
3	17
13	17
18	15
6	6
21	14
9	4
22	18
8	23
3	3
2	19
2	10
4	10
15	6
9	9
22	2
8	23
22	5
2	6
14	1
11	15
1	5
17	8
2	1
16	9
18	3
22	9
18	10
3	13
2	4
8	8
15	20
11	15
1	0
21	17
4	13
21	10
17	1
8	0
11	20
10	13
14	23
1	22
11	11
14	16
11	21
2	5
12	16
17	12
2	22
13	5
22	9
9	3
19	4
1	21
23	14
19	18
0	15
13	6
7	7
3	0
6	2
11	22
12	3
19	13
7	16
11	8
9	9
7	16
2	1
1	19
7	2
7	12
6	21
0	12
15	4
11	18
0	17
18	4
20	4
13	4
0	16
10	1
12	14
16	2
5	23
6	12
13	7
3	5
9	14
19	5
6	12
3	11
14	20
12	20
10	22
22	8
9	18
5	18
19	7
21	13
4	7
10	22
11	12
14	12
22	1
3	11
9	1
0	23
15	21
4	20
16	21
8	22
7	14
16	15
17	7
7	21
11	7
12	9
11	14
6	14
22	2
1	7
22	2
2	21
21	18
15	6
7	9
21	4
14	18
20	1
21	3
4	2
6	6
19	9
14	9
11	20
9	21
17	11
6	6
18	13
12	20
4	3
11	23
5	9
13	23
13	14
0	3
2	4
3	13
16	9
21	14
7	21
16	12
5	10
20	6
5	16
21	9
14	14
8	17
6	4
11	9
0	1
18	3
7	6
10	4
0	23
18	18
11	15
14	4
5	9
16	19
18	22
5	3
17	4
16	1
15	16
18	10
18	16
4	16
15	0
18	13
14	7
23	15
20	18
7	8
0	19
8	6
4	3
0	5
21	0
17	6
0	0
4	13
3	22
19	16
10	4
19	13
3	16
15	11
19	8
15	15
4	6
17	22
8	2
2	4
0	21
12	4
17	4
3	12
11	2
22	22
15	9
8	13
0	10
10	2
3	17
18	2
18	1
1	4
1	14
15	10
15	7
1	1
19	22
9	19
19	10
3	6
13	10
10	4
18	0
7	15
2	19
21	19
10	18
16	5
6	16
18	21
10	8
7	15
3	9
5	10
4	14
15	10
12	8
22	19
15	11
1	4
18	9
13	18
11	10
15	14
6	0
22	19
18	15
19	15
19	5
9	13
11	1
0	0
17	8
10	18
2	2
14	19
13	18
17	18
2	11
8	22
16	13
22	19
15	18
4	11
0	13
19	22
2	22
14	17
17	7
2	10
4	2
4	19
2	17
12	22
1	9
3	12
20	18
3	9
20	11
2	0
18	5
1	9
13	8
17	16
20	6
21	18
15	1
19	11
3	19
0	0
11	3
18	10
10	17
16	12
11	22
9	15
5	17
8	4
17	5
17	10
19	8
10	4
10	1
7	7
1	12
6	9
0	12
10	23
7	12
6	9
8	3
19	1
2	23
21	5
15	8
16	9
22	18
5	5
13	9
2	19
6	2
15	2
3	21
16	6
16	0
23	15
4	14
3	11
6	1
7	5
7	20
0	17
6	11
4	5
4	12
15	2
4	10
13	22
18	3
1	0
13	20
11	17
12	17
15	17
19	5
3	21
6	14
8	5
2	4
13	11
16	2
0	19
3	5
2	10
2	16
4	13
6	21
9	12
6	13
19	13
6	4
0	1
14	5
0	10
15	21
16	1
8	10
13	14
19	9
3	5
15	7
8	7
7	5
19	2
9	18
5	15
18	18
16	1
3	18
8	6
6	11
13	20
6	1
2	14
16	17
19	6
15	10
22	8
12	7
10	1
16	2
16	14
3	11
19	7
22	15
13	14
13	9
0	22
0	14
2	2
21	20
0	8
17	7
9	2
14	16
12	15
0	9
18	16
10	19
4	16
2	14
11	6
19	21
18	18
6	4
9	14
10	9
2	6
13	5
4	13
12	10
7	12
16	1
9	3
11	7
0	2
11	22
3	7
19	10
7	2
6	6
16	5
6	4
3	22
2	20
6	16
9	10
16	14
5	9
17	5
0	4
1	8
3	8
20	9
0	2
5	1
10	21
22	2
20	7
4	7
20	22
16	20
19	6
3	4
1	9
11	7
15	5
0	13
18	10
9	12
9	14
14	5
13	2
10	3
7	17
19	16
16	7
13	16
1	2
18	7
21	18
4	10
14	15
9	11
10	2
14	1
8	9
22	4
1	7
9	2
2	11
1	8
6	2
21	6
18	21
18	7
23	7
22	15
22	11
5	1
9	11
19	20
7	19
0	7
11	14
18	20
12	6
7	5
11	2
4	8
18	22
2	19
19	1
9	8
1	2
10	11
11	21
8	17
15	2
9	16
6	11
9	1
4	19
21	2
18	11
22	0
9	14
6	17
2	11
18	21
7	1
5	10
10	12
3	5
23	15
13	12
19	11
2	12
23	5
10	20
11	19
13	11
11	5
11	17
19	4
10	15
1	0
21	9
20	7
18	13
18	18
5	6
20	15
7	17
22	14
17	0
0	5
11	7
10	7
5	19
15	10
10	19
16	2
14	8
21	14
20	19
22	12
14	19
18	16
0	18
19	22
22	11
15	18
9	11
19	6
14	2
17	7
12	5
5	12
17	17
15	9
6	10
22	14
12	6
13	16
14	23
5	13
18	17
3	5
2	5
11	19
12	2
10	19
8	17
21	4
6	14
13	10
23	19
2	2
4	0
18	0
5	17
22	1
3	2
2	22
3	16
3	3
16	22
12	16
18	5
2	20
12	3
3	2
3	10
18	13
14	14
19	7
8	9
15	11
0	5
21	5
22	6
19	1
21	3
17	17
14	16
15	11
2	4
22	19
5	1
12	10
22	4
13	1
16	16
8	16
9	21
21	12
9	13
19	12
21	7
4	4
14	16
3	13
2	7
21	14
11	22
22	15
9	14
0	3
0	5
21	3
19	7
15	8
3	7
16	8
4	7
12	17
9	22
16	5
11	22
14	20
17	21
20	10
6	17
7	17
13	2
20	15
18	21
10	1
16	3
20	5
2	17
21	9
6	7
18	20
21	18
3	13
10	3
18	9
1	17
6	10
14	3
13	18
12	12
7	4
9	10
1	19
4	11
11	14
11	20
15	19
16	10
21	8
17	5
20	23
1	1
14	12
7	1
9	23
7	16
2	18
18	1
6	10
0	11
0	0
10	7
11	16
20	11
4	8
1	21
18	21
7	6
19	20
13	22
8	10
15	23
15	4
9	13
20	12
20	23
19	2
17	15
7	6
17	13
3	20
18	16
21	5
5	9
9	13
12	4
20	21
19	5
13	21
9	5
22	20
3	20
0	3
15	3
17	9
12	20
23	10
9	17
23	6
5	6
18	5
0	9
21	23
19	0
22	20
15	4
0	17
7	4
14	14
19	5
9	8
10	14
14	4
11	2
16	1
2	11
